timestamp,category,status,durationMs,itemsFound,message
2025-12-02T07:37:01.713436900Z,,ERROR,5690,0,"400 Bad Request: ""{<EOL>  ""error"": {<EOL>    ""type"": ""invalid-input"",<EOL>    ""message"": ""Input is not valid: Field input.category must be equal to one of the allowed values: \""all\"", \""cpu\"", \""cpu-cooler\"", \""motherboard\"", \""memory\"", \""storage\"", \""video-card\"", \""power-supply\"", \""case\"", \""headphones\"", \""keyboard\"", \""mouse\"", \""speakers\"", \""webcam\"", \""monitor\"", \""os\"", \""sound-card\"", \""wired-network-card\"", \""wireless-network-card\"", \""case-fan\"", \""fan-controller\"", \""thermal-past\"", \""external-hard-drives\"", \""optical-drive\"", \""ups\""""<EOL>  }<EOL>}"""
2025-12-02T07:37:20.289769200Z,CPU,SUCCESS,5513,0,Scrape CPU via APIFY
2025-12-02T09:04:25.698184300Z,CPU,ERROR,31145,0,"I/O error on POST request for ""https://api.apify.com/v2/acts/matyascimbulka~pcpartpicker-scraper/run-sync-get-dataset-items"": Read timed out"
2025-12-02T09:05:23.543632500Z,,ERROR,30398,0,"I/O error on POST request for ""https://api.apify.com/v2/acts/matyascimbulka~pcpartpicker-scraper/run-sync-get-dataset-items"": Read timed out"
2025-12-02T09:05:53.750971800Z,CPU,ERROR,30208,0,"I/O error on POST request for ""https://api.apify.com/v2/acts/matyascimbulka~pcpartpicker-scraper/run-sync-get-dataset-items"": Read timed out"
2025-12-02T09:06:33.597662800Z,,ERROR,333,0,"402 Payment Required: ""{<EOL>  ""error"": {<EOL>    ""type"": ""actor-memory-limit-exceeded"",<EOL>    ""message"": ""By launching this job you will exceed the memory limit of 8192MB for all your Actor runs and builds (currently used: 8192MB, requested: 2048MB). Please consider an upgrade to a paid plan at https://console.apify.com/billing/subscription to increase your Actor memory limit.""<EOL>  }<EOL>}"""
2025-12-02T09:06:34.477989800Z,CPU,ERROR,30402,0,"I/O error on POST request for ""https://api.apify.com/v2/acts/matyascimbulka~pcpartpicker-scraper/run-sync-get-dataset-items"": Read timed out"
2025-12-02T09:10:24.243350900Z,,ERROR,30536,0,"I/O error on POST request for ""https://api.apify.com/v2/acts/matyascimbulka~pcpartpicker-scraper/run-sync-get-dataset-items"": Read timed out"
2025-12-02T09:13:49.503570800Z,,ERROR,127570,0,"402 Payment Required: ""{<EOL>  ""error"": {<EOL>    ""type"": ""actor-memory-limit-exceeded"",<EOL>    ""message"": ""By launching this job you will exceed the memory limit of 8192MB for all your Actor runs and builds (currently used: 8192MB, requested: 2048MB). Please consider an upgrade to a paid plan at https://console.apify.com/billing/subscription to increase your Actor memory limit.""<EOL>  }<EOL>}"""
2025-12-02T09:13:49.913386500Z,CPU,ERROR,137425,0,"402 Payment Required: ""{<EOL>  ""error"": {<EOL>    ""type"": ""actor-memory-limit-exceeded"",<EOL>    ""message"": ""By launching this job you will exceed the memory limit of 8192MB for all your Actor runs and builds (currently used: 8192MB, requested: 2048MB). Please consider an upgrade to a paid plan at https://console.apify.com/billing/subscription to increase your Actor memory limit.""<EOL>  }<EOL>}"""
2025-12-02T09:23:10.793514300Z,,ERROR,375657,0,"I/O error on POST request for ""https://api.apify.com/v2/acts/matyascimbulka~pcpartpicker-scraper/run-sync-get-dataset-items"": Read timed out"
2025-12-02T09:31:13.679526200Z,CPU,ERROR,730,0,"HTTP error fetching URL. Status=403, URL=[https://pcpartpicker.com/products/cpu/]"
2025-12-02T09:31:44.329517500Z,,ERROR,218,0,"HTTP error fetching URL. Status=403, URL=[https://pcpartpicker.com/products/cpu/]"
